YEAR,FEMALE % X ,MALE CANDIDATES,MALE % DIV1 ,MALE % DIV2,MALE % DIV3,MALE % DIV4 ,MALE % DIV7,MALE % DIV9,MALE % X
2014,0.0,55,32.7,40.0,16.4,10.9,0.0,0.0,0.0
2014,1.9,57,35.1,40.4,24.6,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,39,33.3,17.9,30.8,15.4,0.0,0.0,2.6
2014,1.0,130,26.9,27.7,23.8,20.8,0.0,0.0,0.8
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,91,25.3,31.9,34.1,8.8,0.0,0.0,0.0
2014,0.0,72,36.1,38.9,19.4,5.6,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,90,24.4,52.2,21.1,2.2,0.0,0.0,0.0
2014,0.0,55,34.5,45.5,10.9,9.1,0.0,0.0,0.0
2014,2.0,127,37.8,29.1,18.9,11.8,0.0,0.0,2.4
2014,0.0,8,25.0,50.0,12.5,12.5,0.0,0.0,0.0
2014,0.0,70,30.0,37.1,20.0,12.9,0.0,0.0,0.0
2014,0.0,29,24.1,24.1,44.8,6.9,0.0,0.0,0.0
2014,0.0,41,34.1,46.3,12.2,7.3,0.0,0.0,0.0
2014,0.0,30,36.7,50.0,13.3,0.0,0.0,0.0,0.0
2014,0.0,52,25.0,50.0,13.5,9.6,0.0,1.9,0.0
2014,0.0,68,27.9,48.5,17.6,5.9,0.0,0.0,0.0
2014,1.4,159,26.4,47.2,23.3,3.1,0.0,0.0,0.0
2014,0.0,54,31.5,33.3,27.8,5.6,1.9,0.0,0.0
2014,1.7,49,36.7,49.0,10.2,4.1,0.0,0.0,0.0
2014,1.2,62,30.6,33.9,17.7,16.1,0.0,0.0,1.6
2014,0.0,37,35.1,24.3,21.6,18.9,0.0,0.0,0.0
2014,0.0,43,32.6,25.6,23.3,18.6,0.0,0.0,0.0
2014,0.0,21,14.3,52.4,28.6,4.8,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,74,28.4,44.6,18.9,8.1,0.0,0.0,0.0
2014,0.0,20,25.0,25.0,50.0,0.0,0.0,0.0,0.0
2014,1.5,37,32.4,32.4,24.3,8.1,0.0,0.0,2.7
2014,0.0,128,23.4,32.0,28.9,14.1,0.8,0.0,0.8
2014,2.8,72,25.0,31.9,23.6,19.4,0.0,0.0,0.0
2014,0.0,61,29.5,52.5,13.1,3.3,0.0,0.0,1.6
2014,2.2,35,42.9,40.0,2.9,14.3,0.0,0.0,0.0
2014,0.0,77,26.0,42.9,16.9,13.0,0.0,0.0,1.3
2014,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,38,21.1,65.8,13.2,0.0,0.0,0.0,0.0
2014,0.0,88,25.0,36.4,21.6,17.0,0.0,0.0,0.0
2014,0.0,45,26.7,20.0,26.7,26.7,0.0,0.0,0.0
2014,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,67,23.9,50.7,22.4,3.0,0.0,0.0,0.0
2014,1.3,88,26.1,23.9,25.0,25.0,0.0,0.0,0.0
2014,0.0,118,27.1,43.2,22.9,6.8,0.0,0.0,0.0
2014,0.9,123,26.0,52.0,17.1,4.1,0.0,0.0,0.8
2014,0.0,30,23.3,56.7,13.3,6.7,0.0,0.0,0.0
2014,0.0,32,31.3,18.8,34.4,15.6,0.0,0.0,0.0
2014,4.2,21,23.8,23.8,38.1,14.3,0.0,0.0,0.0
2014,0.0,10,10.0,40.0,50.0,0.0,0.0,0.0,0.0
2014,0.0,106,19.8,47.2,24.5,8.5,0.0,0.0,0.0
2014,1.1,113,24.8,57.5,15.9,1.8,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,62,19.4,38.7,22.6,17.7,0.0,0.0,1.6
2014,0.0,35,25.7,11.4,28.6,17.1,0.0,5.7,11.4
2014,5.4,55,23.6,34.5,25.5,14.5,0.0,0.0,1.8
2014,0.0,42,28.6,28.6,21.4,21.4,0.0,0.0,0.0
2014,0.0,41,22.0,46.3,31.7,0.0,0.0,0.0,0.0
2014,0.0,85,23.5,40.0,27.1,8.2,0.0,0.0,1.2
2014,0.0,65,30.8,36.9,18.5,12.3,0.0,0.0,1.5
2014,0.0,24,25.0,62.5,12.5,0.0,0.0,0.0,0.0
2014,0.0,266,23.3,39.5,27.8,9.4,0.0,0.0,0.0
2014,0.0,50,24.0,38.0,18.0,20.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,8,50.0,25.0,12.5,12.5,0.0,0.0,0.0
2014,0.0,15,26.7,33.3,26.7,13.3,0.0,0.0,0.0
2014,0.0,77,20.8,42.9,15.6,15.6,2.6,2.6,0.0
2014,7.1,18,22.2,33.3,27.8,16.7,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,16,18.8,31.3,50.0,0.0,0.0,0.0,0.0
2014,0.0,11,27.3,54.5,18.2,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,102,18.6,41.2,24.5,15.7,0.0,0.0,0.0
2014,0.0,18,33.3,38.9,11.1,16.7,0.0,0.0,0.0
2014,0.0,92,19.6,50.0,27.2,3.3,0.0,0.0,0.0
2014,0.0,26,26.9,23.1,26.9,19.2,0.0,0.0,3.8
2014,0.0,67,25.4,52.2,17.9,4.5,0.0,0.0,0.0
2014,0.0,80,27.5,30.0,25.0,15.0,1.3,0.0,1.3
2014,0.0,102,18.6,25.5,35.3,19.6,0.0,0.0,1.0
2014,0.0,111,25.2,37.8,18.9,17.1,0.0,0.9,0.0
2014,0.0,84,26.2,50.0,21.4,2.4,0.0,0.0,0.0
2014,0.0,37,21.6,32.4,29.7,13.5,0.0,0.0,2.7
2014,0.0,139,23.0,41.7,28.1,7.2,0.0,0.0,0.0
2014,0.0,129,25.6,43.4,23.3,7.0,0.0,0.0,0.8
2014,0.0,44,22.7,34.1,18.2,20.5,0.0,4.5,0.0
2014,0.0,14,28.6,42.9,14.3,7.1,0.0,0.0,7.1
2014,0.0,150,23.3,42.7,20.7,12.7,0.0,0.7,0.0
2014,0.0,16,31.3,37.5,18.8,0.0,6.3,0.0,6.3
2014,1.8,125,24.0,26.4,28.0,20.0,0.0,0.0,1.6
2014,0.0,54,27.8,44.4,18.5,9.3,0.0,0.0,0.0
2014,0.0,54,27.8,46.3,18.5,5.6,0.0,0.0,1.9
2014,2.5,39,33.3,25.6,20.5,20.5,0.0,0.0,0.0
2014,0.0,106,23.6,37.7,18.9,19.8,0.0,0.0,0.0
2014,1.2,44,22.7,38.6,27.3,9.1,0.0,0.0,2.3
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,138,19.6,44.2,28.3,8.0,0.0,0.0,0.0
2014,2.4,56,12.5,26.8,42.9,17.9,0.0,0.0,0.0
2014,0.0,90,23.3,23.3,27.8,25.6,0.0,0.0,0.0
2014,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,22,31.8,31.8,27.3,9.1,0.0,0.0,0.0
2014,0.0,15,13.3,40.0,20.0,26.7,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1.5,63,22.2,28.6,28.6,15.9,0.0,4.8,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,110,27.3,35.5,20.9,16.4,0.0,0.0,0.0
2014,0.0,33,33.3,30.3,24.2,12.1,0.0,0.0,0.0
2014,0.0,15,26.7,60.0,13.3,0.0,0.0,0.0,0.0
2014,0.0,74,21.6,41.9,18.9,17.6,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,30,20.0,20.0,43.3,16.7,0.0,0.0,0.0
2014,0.0,15,26.7,53.3,13.3,6.7,0.0,0.0,0.0
2014,0.0,50,16.0,40.0,20.0,22.0,0.0,0.0,2.0
2014,0.0,12,16.7,58.3,25.0,0.0,0.0,0.0,0.0
2014,0.0,82,18.3,40.2,32.9,8.5,0.0,0.0,0.0
2014,0.0,85,18.8,35.3,25.9,17.6,0.0,1.2,1.2
2014,2.2,81,21.0,46.9,19.8,12.3,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.8,221,19.0,41.2,33.5,6.3,0.0,0.0,0.0
2014,0.0,43,16.3,23.3,37.2,23.3,0.0,0.0,0.0
2014,0.0,100,26.0,28.0,26.0,19.0,0.0,0.0,1.0
2014,1.7,108,25.0,27.8,25.0,19.4,0.0,1.9,0.9
2014,0.0,68,20.6,30.9,23.5,23.5,0.0,1.5,0.0
2014,0.0,35,20.0,28.6,14.3,28.6,0.0,8.6,0.0
2014,0.0,32,25.0,28.1,28.1,18.8,0.0,0.0,0.0
2014,1.6,48,18.8,31.3,29.2,18.8,0.0,0.0,2.1
2014,1.9,165,18.2,26.1,31.5,24.2,0.0,0.0,0.0
2014,2.1,77,19.5,32.5,24.7,18.2,0.0,0.0,5.2
2014,0.0,13,23.1,23.1,38.5,7.7,0.0,0.0,7.7
2014,1.0,119,22.7,37.0,23.5,16.0,0.0,0.0,0.8
2014,1.7,61,19.7,37.7,23.0,16.4,1.6,0.0,1.6
2014,2.8,33,24.2,27.3,21.2,24.2,0.0,0.0,3.0
2014,2.3,25,28.0,24.0,16.0,32.0,0.0,0.0,0.0
2014,2.0,31,25.8,32.3,16.1,22.6,0.0,0.0,3.2
2014,1.2,74,16.2,37.8,27.0,17.6,0.0,1.4,0.0
2014,2.3,66,19.7,34.8,25.8,19.7,0.0,0.0,0.0
2014,0.0,67,16.4,35.8,28.4,17.9,0.0,0.0,1.5
2014,0.0,35,20.0,31.4,20.0,25.7,2.9,0.0,0.0
2014,0.0,29,20.7,27.6,37.9,13.8,0.0,0.0,0.0
2014,0.0,64,14.1,46.9,23.4,15.6,0.0,0.0,0.0
2014,2.1,43,23.3,37.2,16.3,2.3,0.0,0.0,20.9
2014,0.0,20,15.0,50.0,30.0,5.0,0.0,0.0,0.0
2014,3.8,37,21.6,35.1,29.7,13.5,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,35,8.6,57.1,25.7,8.6,0.0,0.0,0.0
2014,0.0,104,20.2,41.3,25.0,12.5,0.0,0.0,1.0
2014,0.0,41,22.0,14.6,17.1,39.0,0.0,7.3,0.0
2014,0.0,31,19.4,25.8,29.0,25.8,0.0,0.0,0.0
2014,0.0,39,33.3,15.4,10.3,38.5,0.0,0.0,2.6
2014,0.0,113,20.4,36.3,30.1,11.5,0.0,0.0,1.8
2014,0.0,45,31.1,31.1,28.9,8.9,0.0,0.0,0.0
2014,0.0,26,15.4,30.8,23.1,30.8,0.0,0.0,0.0
2014,0.0,27,18.5,59.3,18.5,3.7,0.0,0.0,0.0
2014,0.0,23,13.0,30.4,34.8,21.7,0.0,0.0,0.0
2014,0.0,44,20.5,40.9,15.9,20.5,0.0,0.0,2.3
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1.0,74,25.7,27.0,28.4,14.9,0.0,1.4,2.7
2014,0.0,44,18.2,13.6,20.5,47.7,0.0,0.0,0.0
2014,1.1,78,23.1,44.9,21.8,10.3,0.0,0.0,0.0
2014,0.0,85,20.0,27.1,31.8,18.8,0.0,2.4,0.0
2014,0.0,66,19.7,18.2,34.8,24.2,0.0,1.5,1.5
2014,0.0,120,25.0,20.8,26.7,25.8,0.0,0.8,0.8
2014,0.0,36,22.2,19.4,36.1,22.2,0.0,0.0,0.0
2014,0.0,67,16.4,47.8,29.9,4.5,0.0,0.0,1.5
2014,2.4,43,27.9,34.9,23.3,14.0,0.0,0.0,0.0
2014,0.0,38,21.1,36.8,28.9,13.2,0.0,0.0,0.0
2014,0.0,2,50.0,0.0,0.0,50.0,0.0,0.0,0.0
2014,0.0,136,24.3,30.1,26.5,18.4,0.0,0.0,0.7
2014,0.0,249,22.5,22.9,25.7,26.9,0.4,1.6,0.0
2014,0.0,33,27.3,33.3,12.1,27.3,0.0,0.0,0.0
2014,1.3,58,24.1,27.6,36.2,12.1,0.0,0.0,0.0
2014,0.0,35,14.3,37.1,28.6,20.0,0.0,0.0,0.0
2014,0.0,25,20.0,40.0,28.0,12.0,0.0,0.0,0.0
2014,0.0,86,20.9,30.2,29.1,19.8,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,41,12.2,48.8,22.0,14.6,0.0,0.0,2.4
2014,0.0,37,16.2,18.9,24.3,40.5,0.0,0.0,0.0
2014,0.0,110,16.4,20.0,24.5,35.5,0.0,2.7,0.9
2014,1.3,134,17.2,27.6,27.6,26.9,0.0,0.7,0.0
2014,0.0,32,18.8,21.9,37.5,21.9,0.0,0.0,0.0
2014,0.0,38,7.9,47.4,31.6,13.2,0.0,0.0,0.0
2014,0.0,41,17.1,34.1,29.3,19.5,0.0,0.0,0.0
2014,0.0,90,21.1,45.6,23.3,10.0,0.0,0.0,0.0
2014,0.0,47,19.1,46.8,21.3,12.8,0.0,0.0,0.0
2014,2.7,22,9.1,36.4,31.8,22.7,0.0,0.0,0.0
2014,1.8,61,11.5,21.3,27.9,36.1,0.0,3.3,0.0
2014,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1.5,76,22.4,31.6,25.0,21.1,0.0,0.0,0.0
2014,2.1,97,16.5,39.2,25.8,18.6,0.0,0.0,0.0
2014,2.6,28,10.7,46.4,35.7,7.1,0.0,0.0,0.0
2014,0.0,49,22.4,44.9,24.5,8.2,0.0,0.0,0.0
