YEAR,% DIV 9,% X,FEMALE CANDIDATES,FEMALE % DIV1 ,FEMALE % DIV2,FEMALE % DIV3,FEMALE % DIV4,FEMALE % DIV7,FEMALE % DIV9
2014,1.2,0.0,136,22.8,33.1,22.1,19.9,0.7,1.5
2014,0.0,0.0,99,24.2,56.6,14.1,5.1,0.0,0.0
2014,0.0,0.0,120,30.8,45.8,20.8,2.5,0.0,0.0
2014,0.0,1.7,30,23.3,53.3,16.7,3.3,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,115,34.8,45.2,18.3,1.7,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,48,25.0,45.8,22.9,6.3,0.0,0.0
2014,0.0,0.0,49,30.6,18.4,36.7,14.3,0.0,0.0
2014,0.0,1.4,69,33.3,43.5,18.8,2.9,0.0,0.0
2014,0.0,0.0,16,25.0,31.3,43.8,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,48,29.2,43.8,22.9,4.2,0.0,0.0
2014,0.0,0.0,86,27.9,53.5,16.3,2.3,0.0,0.0
2014,0.0,0.7,70,30.0,40.0,24.3,4.3,0.0,0.0
2014,0.0,0.0,37,32.4,59.5,8.1,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.2,259,27.4,47.5,20.1,4.6,0.0,0.0
2014,0.0,0.0,56,19.6,32.1,25.0,23.2,0.0,0.0
2014,0.0,0.0,12,25.0,66.7,8.3,0.0,0.0,0.0
2014,0.0,0.0,12,16.7,66.7,16.7,0.0,0.0,0.0
2014,0.0,1.4,25,24.0,56.0,12.0,4.0,0.0,0.0
2014,0.0,0.7,66,28.8,39.4,19.7,12.1,0.0,0.0
2014,0.0,0.0,39,12.8,56.4,30.8,0.0,0.0,0.0
2014,0.0,3.3,68,32.4,32.4,20.6,8.8,0.0,0.0
2014,0.0,0.8,58,29.3,34.5,29.3,5.2,0.0,0.0
2014,0.0,2.5,47,27.7,27.7,34.0,8.5,0.0,0.0
